epoch,epoch_started_at,epoch_finished_at,lr,train_seconds,valid_seconds,epoch_seconds,cumulative_training_seconds,train_loss,train_nrmse,val_loss,val_nrmse,val_ce,val_rmse,train_ce,train_rmse,train_kl,train_wass,train_total
1,2026-06-19T16:50:55Z,2026-06-19T16:51:23Z,0.001,24.09656264295336,3.449121590005234,27.545707165962085,27.547184011084028,6.253272533416748,0.9770223188398444,5.351886251994542,968.1669872431104,4.960560376303537,0.3913258697305407,5.063903000889992,0.3964565110449888,0.0,0.0,6.253272533416748
2,2026-06-19T16:51:23Z,2026-06-19T16:51:50Z,0.001,24.110006200964563,3.4393679960630834,27.549412521068007,55.12705574010033,6.194790668228046,0.9641930851133141,5.319726555688041,959.4414537753505,4.932386452811105,0.38734007350036076,5.02116397286759,0.39120889277685256,0.0,0.0,6.194790668228046
3,2026-06-19T16:51:50Z,2026-06-19T16:52:18Z,0.001,24.08192348096054,3.4363608109997585,27.51833730295766,82.6788982640719,6.175145564436102,0.9568255249372006,5.294798081261771,950.8660591097967,4.910981280463083,0.3838167986699513,5.008816096247459,0.3887764860172661,0.0,0.0,6.175145564436102
4,2026-06-19T16:52:18Z,2026-06-19T16:52:45Z,0.001,24.083027086104266,3.439290653914213,27.522362584015355,110.23395610705484,6.14778622478044,0.9487461873720177,5.280965512139456,941.000946854659,4.902823972702026,0.3781415181500571,4.992266706868905,0.3851731737860206,0.0,0.0,6.14778622478044
5,2026-06-19T16:52:45Z,2026-06-19T16:53:13Z,0.001,24.117414487991482,3.445625731954351,27.563095192890614,137.8283856130438,6.125804732445957,0.9414525455550428,5.304738344464983,956.7198634095504,4.918556717463902,0.3861816312585558,4.977897439684186,0.382635768578977,0.0,0.0,6.125804732445957
6,2026-06-19T16:53:13Z,2026-06-19T16:53:41Z,0.001,24.170443169074133,3.4319393559126183,27.6024113179883,165.43176536401734,6.109544442624462,0.9357744969630019,5.258228697095599,938.9210289955241,4.879831205095564,0.3783975056239537,4.968554801681415,0.3803298740970845,0.0,0.0,6.109544442624462
7,2026-06-19T16:53:41Z,2026-06-19T16:54:08Z,0.001,24.1463206729386,3.449806619086303,27.596181453904137,193.06100309907924,6.099730588951889,0.9332243522970939,5.261625644138881,942.2405526381978,4.881316791261946,0.38030884265899656,4.963155801604394,0.3788582605569541,0.0,0.0,6.099730588951889
8,2026-06-19T16:54:08Z,2026-06-19T16:54:36Z,0.001,24.112649854971096,3.439583220053464,27.552263681893237,220.6142772930907,6.084007516199229,0.9273260670288171,5.239254787990025,928.341977594408,4.865917948314122,0.3733368707554681,4.954448109581357,0.37651979497500826,0.0,0.0,6.084007516199229
9,2026-06-19T16:54:36Z,2026-06-19T16:55:03Z,0.001,24.10849659400992,3.3991504790028557,27.507701938040555,248.1547225289978,6.073313884994611,0.9236406448438429,5.2512262889317105,935.5183295160356,4.87427226475307,0.37695403546094897,4.949175166434983,0.37471289699580396,0.0,0.0,6.073313884994611
10,2026-06-19T16:55:03Z,2026-06-19T16:55:31Z,0.001,24.107467587920837,3.451006622053683,27.558504335931502,275.71425430011004,6.0607054379521585,0.9181953764017643,5.222428894042968,923.3136454901138,4.852166400636945,0.3702624940446445,4.942194364508804,0.3728370155606951,0.0,0.0,6.0607054379521585
