epoch,epoch_started_at,epoch_finished_at,lr,train_seconds,valid_seconds,epoch_seconds,cumulative_training_seconds,train_loss,train_nrmse,val_loss,val_nrmse,val_ce,val_rmse,train_ce,train_rmse,train_kl,train_wass,train_total
1,2026-06-17T19:31:20Z,2026-06-17T19:31:48Z,0.001,24.303818083018996,3.5183026529848576,27.82219634100329,27.823717224993743,5.854538226614193,0.9774855217323158,5.34836665562221,963.1815317830647,4.959304959433419,0.38906168724809376,5.060989448002407,0.3967743860621031,0.0,0.0,5.854538226614193
2,2026-06-17T19:31:48Z,2026-06-17T19:32:15Z,0.001,24.25758900505025,3.5134724900126457,27.771101352060214,55.62545729998965,5.802837199905292,0.9629975552908369,5.320037235532488,957.7460366071299,4.9335992131914415,0.38643801808357237,5.019576870665258,0.391630158740647,0.0,0.0,5.802837199905292
3,2026-06-17T19:32:15Z,2026-06-17T19:32:43Z,0.001,24.27595739904791,3.490688113961369,27.76670095801819,83.42337328603026,5.777949148294877,0.9540963509382434,5.291286305018834,949.7411173255229,4.90885831287929,0.38242796787193845,5.003265539805095,0.3873418056640495,0.0,0.0,5.777949148294877
4,2026-06-17T19:32:43Z,2026-06-17T19:33:11Z,0.001,24.242531217983924,3.4946953549515456,27.737296415958554,111.19415221305098,5.758725227952814,0.9473221366129666,5.27860175541469,944.4892235329952,4.897772748129708,0.3808289727994374,4.9889041161050605,0.38491055065271806,0.0,0.0,5.758725227952814
5,2026-06-17T19:33:11Z,2026-06-17T19:33:39Z,0.001,24.290800414979458,3.5050089550204575,27.795862650033087,139.02259993506595,5.739911660045182,0.9401976452979578,5.271580151149204,941.1366031938436,4.8921370097569055,0.3794431460755212,4.976972819996529,0.3814694098874825,0.0,0.0,5.739911660045182
6,2026-06-17T19:33:39Z,2026-06-17T19:34:07Z,0.001,24.294087537098676,3.5172226569848135,27.811365470057353,166.8685311820591,5.71779203414917,0.9322740125531193,5.246692207881383,934.4773745957801,4.8707032339913505,0.37598896963255746,4.961689212695271,0.3780514145789503,0.0,0.0,5.71779203414917
7,2026-06-17T19:34:07Z,2026-06-17T19:34:34Z,0.001,24.237387091037817,3.4722612079931423,27.70969729195349,194.61093554808758,5.709542092822847,0.9284974486059481,5.246149212973458,934.8743233521631,4.869858530589513,0.37629068195819854,4.9547672790734945,0.3773874184306787,0.0,0.0,5.709542092822847
8,2026-06-17T19:34:34Z,2026-06-17T19:35:02Z,0.001,24.316175429034047,3.520374563988298,27.836580810952,222.44854284008034,5.703499167954841,0.9266705327429642,5.2494102954864506,941.588046220183,4.869363750730242,0.38004651708262305,4.951309466848568,0.3760948495394519,0.0,0.0,5.703499167954841
9,2026-06-17T19:35:02Z,2026-06-17T19:35:30Z,0.001,24.307018235092983,3.510403885040432,27.81745122501161,250.26701438403688,5.68977504522622,0.9201286156557259,5.237249558312552,931.3728476873717,4.863152068001884,0.3740974952067648,4.943114686174457,0.37333018479704044,0.0,0.0,5.68977504522622
10,2026-06-17T19:35:30Z,2026-06-17T19:35:58Z,0.001,24.27878174802754,3.4824985769810155,27.761334056966007,278.06114168302156,5.683726356143043,0.9165229152218312,5.235942070824759,929.3684808278005,4.862523201533726,0.3734188944101334,4.939755501390314,0.37198544339257844,0.0,0.0,5.683726356143043
11,2026-06-17T19:35:58Z,2026-06-17T19:36:26Z,0.001,24.323473654920235,3.5082278329646215,27.83175361796748,305.9251565040322,5.679667813437326,0.9144996996020452,5.239190442221505,932.306016846967,4.864808082580566,0.3743823713489941,4.936270149386659,0.37169883364722844,0.0,0.0,5.679667813437326
12,2026-06-17T19:36:26Z,2026-06-17T19:36:53Z,0.001,24.299497312051244,3.5075934840133414,27.80712298792787,333.73333007702604,5.671952620655501,0.9112976320807025,5.244394213812692,939.7915288266579,4.866132743018014,0.3782614699431828,4.931033676173411,0.3704594837970474,0.0,0.0,5.671952620655501
13,2026-06-17T19:36:53Z,2026-06-17T19:37:21Z,0.001,24.279013813007623,3.493479353026487,27.77252356300596,361.5069365770323,5.6615454647816765,0.9064814435950974,5.240022720609392,935.6248228837896,4.863336420059204,0.3766863052334104,4.92566137897725,0.36794203844200185,0.0,0.0,5.6615454647816765
14,2026-06-17T19:37:21Z,2026-06-17T19:37:49Z,0.001,24.273803452029824,3.5096290280343965,27.783463881001808,389.291518622078,5.657889982470039,0.9060461459147306,5.2241583279200965,928.2122077491305,4.852260889325823,0.3718974268862179,4.922107797090699,0.3678911028265142,0.0,0.0,5.657889982470039
15,2026-06-17T19:37:49Z,2026-06-17T19:38:17Z,0.001,24.32601496798452,3.4897822100901976,27.81584545003716,417.14077033207286,5.6564532396744704,0.904923930637641,5.223016554968698,926.1343911236504,4.85194457599095,0.3710719489625522,4.921551354077398,0.36745093955474645,0.0,0.0,5.6564532396744704
16,2026-06-17T19:38:17Z,2026-06-17T19:38:45Z,0.001,24.33767548506148,3.5005746870301664,27.838298051967286,445.01243940298446,5.647805937293436,0.9014880153560563,5.245823356083461,940.4656853429277,4.868271541595459,0.3775518334337643,4.916740388286357,0.3655327884923844,0.0,0.0,5.647805937293436
17,2026-06-17T19:38:45Z,2026-06-17T19:39:12Z,0.001,24.275831597973593,3.4765446019591764,27.75241046503652,472.76596602704376,5.647343810723752,0.8994668434968048,5.227854878561837,928.2371602117371,4.855189044134957,0.3726658293179103,4.916174826978827,0.3655845056585714,0.0,0.0,5.647343810723752
18,2026-06-17T19:39:12Z,2026-06-17T19:39:40Z,0.001,24.250822765985504,3.4713635880034417,27.72221788391471,500.48933862301055,5.63834387591096,0.8949874938579864,5.262162576402937,940.1873535363292,4.882952642440796,0.37920992182833807,4.910527897529861,0.3639079853385484,0.0,0.0,5.63834387591096
19,2026-06-17T19:39:40Z,2026-06-17T19:40:08Z,0.001,24.25961896206718,3.5064230900024995,27.76607487304136,528.2565887980163,5.63391941745265,0.8923926154282295,5.250308111735753,940.7138045855497,4.871651758466448,0.37865637902702604,4.909190213599173,0.36236460314316005,0.0,0.0,5.63391941745265
20,2026-06-17T19:40:08Z,2026-06-17T19:40:36Z,0.001,24.252703199977987,3.522182315005921,27.77491530298721,556.0326445450773,5.626100695863062,0.8911172926959036,5.228089652742658,931.0089358770956,4.854664380209787,0.37342527870621,4.902339922327574,0.3618803827130065,0.0,0.0,5.626100695863062
21,2026-06-17T19:40:36Z,2026-06-17T19:41:04Z,0.001,24.29150632105302,3.5449646619381383,27.83650256297551,583.870349320001,5.620765121615663,0.8874727027992904,5.24763228552682,940.4721816836945,4.869866922923497,0.3777653636676925,4.900609765733991,0.3600776807791522,0.0,0.0,5.620765121615663
22,2026-06-17T19:41:04Z,2026-06-17T19:41:31Z,0.001,24.293476402992383,3.497001450974494,27.790508302045055,611.6620466890745,5.620258798404616,0.8864926391034065,5.2439417498452325,943.2142921922318,4.864590474537441,0.3793512640254838,4.900279616012054,0.35998958957438565,0.0,0.0,5.620258798404616
23,2026-06-17T19:41:31Z,2026-06-17T19:41:59Z,0.001,24.285726623027585,3.4947928360197693,27.780549717019312,639.4437947900733,5.6077183055228925,0.8805035346469794,5.251140342439924,946.3312149668373,4.870831857408796,0.3803084956748145,4.893443253575539,0.35713751948609646,0.0,0.0,5.6077183055228925
24,2026-06-17T19:41:59Z,2026-06-17T19:42:27Z,0.001,24.285648879944347,3.476883069030009,27.7625637690071,667.2075756100239,5.609090425530258,0.8805847344040507,5.2618451527186805,953.3094276443927,4.880687543324062,0.3811576098203659,4.894728683290028,0.3571808776076959,0.0,0.0,5.609090425530258
25,2026-06-17T19:42:27Z,2026-06-17T19:42:55Z,0.001,24.307208294980228,3.4704833469586447,27.777725095977075,694.9865486240014,5.6037190074012395,0.8771234950783217,5.2632851328168595,954.7445540850387,4.879211705071586,0.3840734266809055,4.89308805854953,0.3553154827380667,0.0,0.0,5.6037190074012395
26,2026-06-17T19:42:55Z,2026-06-17T19:43:22Z,0.001,24.291912304004654,3.481499220011756,27.773441992001608,722.7612253780244,5.600604988279796,0.8748222263758576,5.248987913131714,944.2810559752592,4.869794191632952,0.3791937151125499,4.889600912729899,0.3555020325037898,0.0,0.0,5.600604988279796
27,2026-06-17T19:43:22Z,2026-06-17T19:43:50Z,0.001,24.276754521066323,3.5020572840003297,27.77884298504796,750.5413457760587,5.5971365785923135,0.8728810783009888,5.261601039341518,952.9442922946641,4.87804570879255,0.38355532182114466,4.8883182629436055,0.3544091533641426,0.0,0.0,5.5971365785923135
28,2026-06-17T19:43:50Z,2026-06-17T19:44:18Z,0.001,24.24375438306015,3.4974661690648645,27.741250078077428,778.2838351749815,5.585761443287337,0.8685522169486977,5.234129898888725,936.5302741254081,4.858911534718104,0.37521837417568477,4.88029365150296,0.3527338940675567,0.0,0.0,5.585761443287337
29,2026-06-17T19:44:18Z,2026-06-17T19:44:46Z,0.001,24.263279353966936,3.4898233009735122,27.753134434926324,806.0382564520696,5.581273961229389,0.8661544803174211,5.2478236470903665,945.3192840024394,4.86720016343253,0.3806234949401447,4.879298067417275,0.3509879462978467,0.0,0.0,5.581273961229389
30,2026-06-17T19:44:46Z,2026-06-17T19:45:14Z,0.001,24.281199998920783,3.516671553021297,27.797902038902976,833.8374233010691,5.580264886220296,0.8651310747773304,5.261939007895333,947.4389038787218,4.882336820874896,0.3796021655201912,4.8773559940104585,0.3514544420501813,0.0,0.0,5.580264886220296
