epoch,epoch_started_at,epoch_finished_at,lr,train_seconds,valid_seconds,epoch_seconds,cumulative_training_seconds,train_loss,train_nrmse,val_loss,val_nrmse,val_ce,val_rmse,train_ce,train_rmse,train_kl,train_wass,train_total
1,2026-06-17T20:09:57Z,2026-06-17T20:10:25Z,0.001,24.338085404015146,3.5077799590071663,27.8459145759698,27.84757147799246,6.228316008639173,0.9770761324958565,5.303549630301339,961.3473702544259,4.915355587005616,0.3881940628801073,5.0384881382896785,0.39660928829186626,0.0,0.0,6.228316008639173
2,2026-06-17T20:10:25Z,2026-06-17T20:10:53Z,0.001,24.29650960606523,3.4860071829752997,27.782564358902164,55.661093274946325,6.166872715463444,0.9630152438832162,5.275407614026751,957.337631997906,4.88929056440081,0.38611700407096317,4.991967558049831,0.3916350522008883,0.0,0.0,6.166872715463444
3,2026-06-17T20:10:53Z,2026-06-17T20:11:21Z,0.001,24.265520960092545,3.4959793090820312,27.761562106083147,83.45735432195943,6.136177805816235,0.9544750472888436,5.241395466668266,948.8121383710643,4.85933153288705,0.38206392484051843,4.973688797074921,0.38749633638226255,0.0,0.0,6.136177805816235
4,2026-06-17T20:11:21Z,2026-06-17T20:11:49Z,0.001,24.27953255607281,3.4932064139284194,27.77279160998296,111.26537746202666,6.111547622550913,0.9474114836182707,5.227601214817592,947.5732216632191,4.845158209119524,0.3824429665293012,4.956707788973438,0.38494661369291294,0.0,0.0,6.111547622550913
5,2026-06-17T20:11:49Z,2026-06-17T20:12:16Z,0.001,24.319891632068902,3.516959237982519,27.836901035974734,139.1353590800427,6.089235198741057,0.9407733762252285,5.22420585496085,943.4744735766133,4.843627847943988,0.38057799552168164,4.94412898692955,0.38170207154994107,0.0,0.0,6.089235198741057
6,2026-06-17T20:12:16Z,2026-06-17T20:12:44Z,0.001,24.302302333991975,3.5224933760473505,27.824843180016614,166.99360248900484,6.06006028700848,0.932391007639184,5.1932967799050465,935.3240507781487,4.816971145357404,0.376325620497976,4.925744673021796,0.37810520290517485,0.0,0.0,6.06006028700848
7,2026-06-17T20:12:44Z,2026-06-17T20:13:12Z,0.001,24.318163771065883,3.4784677260322496,27.796679929015227,194.82307237095665,6.052644226826778,0.9293820212727575,5.192756012507847,936.1303935682309,4.815984698704311,0.3767713325364249,4.919385566192419,0.37775288877033053,0.0,0.0,6.052644226826778
8,2026-06-17T20:13:12Z,2026-06-17T20:13:40Z,0.001,24.285215950920247,3.4727374520152807,27.757984551950358,222.5820670989342,6.041140170324416,0.9260632731195577,5.194468300683158,942.0444445216128,4.814430155072894,0.3800381647689002,4.91357591200848,0.3758547539208211,0.0,0.0,6.041140170324416
9,2026-06-17T20:13:40Z,2026-06-17T20:14:08Z,0.001,24.303890399984084,3.5185016749892384,27.822422130964696,250.4055184610188,6.025739228644339,0.9203261226183463,5.185858072553362,935.7565809018853,4.809685373306275,0.37617272436618804,4.905507210971547,0.3734106770178088,0.0,0.0,6.025739228644339
10,2026-06-17T20:14:08Z,2026-06-17T20:14:35Z,0.001,24.24371673190035,3.4945678140502423,27.738314902991988,278.1448629760416,6.016925954494346,0.9165520412477511,5.184889847891672,930.1870273692635,4.810853849138533,0.3740359810846193,4.900929849974963,0.3719987011685663,0.0,0.0,6.016925954494346
