epoch,epoch_started_at,epoch_finished_at,lr,train_seconds,valid_seconds,epoch_seconds,cumulative_training_seconds,train_loss,train_nrmse,val_loss,val_nrmse,val_ce,val_rmse,train_ce,train_rmse,train_kl,train_wass,train_total
1,2026-06-19T19:26:40Z,2026-06-19T19:27:32Z,0.001,48.04620356496889,3.739830408943817,51.78619818505831,51.78855695493985,6.352915487791362,0.9942337949496137,5.379205254146031,972.4978269357352,4.986452048165457,0.3927532025745937,5.140190024124949,0.4042418175622037,0.0,0.0,6.352915487791362
2,2026-06-19T19:27:32Z,2026-06-19T19:28:23Z,0.001,47.79150509508327,3.7032418589806184,51.49479859205894,103.31283988093492,6.220720517007928,0.9694328893393526,5.366168546676636,968.0871204685156,4.974701588494437,0.3914669637169157,5.038738451505962,0.39399402627819463,0.0,0.0,6.220720517007928
3,2026-06-19T19:28:23Z,2026-06-19T19:29:15Z,0.001,47.88621987402439,3.7034024900058284,51.58967554499395,154.93448922398966,6.194180199974461,0.9624498282466933,5.331556224822998,962.2324660748229,4.943424817493984,0.3881313788039344,5.0215026202954745,0.39089252995817286,0.0,0.0,6.194180199974461
4,2026-06-19T19:29:15Z,2026-06-19T19:30:07Z,0.001,47.8440766610438,3.708502058056183,51.55264519597404,206.51964951201808,6.1798366119987085,0.9584367808099115,5.321139015470233,955.2148263388343,4.935964025769915,0.38517503355230603,5.011008952793322,0.3896092176437378,0.0,0.0,6.1798366119987085
5,2026-06-19T19:30:07Z,2026-06-19T19:30:58Z,0.001,47.84596971597057,3.6912828109925613,51.537313411943614,258.0893190719653,6.167030924244931,0.9540203397392211,5.294834579740252,948.2982595832277,4.912741913114275,0.3820926593882697,5.002381889443648,0.3882163543450205,0.0,0.0,6.167030924244931
6,2026-06-19T19:30:58Z,2026-06-19T19:31:50Z,0.001,47.85136533190962,3.698307079030201,51.54972947901115,309.67295585095417,6.141674995422363,0.9476223004030225,5.282625123432704,945.0693192035849,4.902059827532087,0.3805653150592532,4.988681680277774,0.3843311008654143,0.0,0.0,6.141674995422363
7,2026-06-19T19:31:50Z,2026-06-19T19:32:41Z,0.001,47.82963749708142,3.710668585030362,51.54035816004034,361.24498826800846,6.127785833258378,0.9416093874590974,5.3076888356889995,956.9009626664455,4.92119072505406,0.38649808934756685,4.981078662370381,0.38223572075366974,0.0,0.0,6.127785833258378
8,2026-06-19T19:32:41Z,2026-06-19T19:33:33Z,0.001,47.86011591297574,3.680031823925674,51.54020829196088,412.78612100495957,6.121742486953735,0.9392843648279745,5.2759498119354244,942.0257430047056,4.89677062034607,0.3791791775396892,4.977894996341906,0.3812824856293829,0.0,0.0,6.121742486953735
9,2026-06-19T19:33:33Z,2026-06-19T19:34:24Z,0.001,47.88227767497301,3.6983576000202447,51.580692494055256,464.3975390709238,6.103871194939864,0.9322507862484027,5.305032403128488,956.2428962504218,4.918839052745274,0.3861933597496578,4.966197001306634,0.37922473487101105,0.0,0.0,6.103871194939864
10,2026-06-19T19:34:24Z,2026-06-19T19:35:16Z,0.001,47.93044231203385,3.740611662971787,51.67118143592961,516.069705146947,6.094393479196649,0.9299249623799286,5.25817997114999,936.9171148849379,4.880818441935948,0.3773615300655365,4.960315691797357,0.3780259090034585,0.0,0.0,6.094393479196649
11,2026-06-19T19:35:16Z,2026-06-19T19:36:08Z,0.001,47.930306507973,3.7531904689967632,51.68355072697159,567.7863437249325,6.083399283258538,0.9269661017814341,5.266175467627389,943.7341970896558,4.8852326188768656,0.38094283980982646,4.954398782629716,0.376333497072521,0.0,0.0,6.083399283258538
12,2026-06-19T19:36:08Z,2026-06-19T19:36:59Z,0.001,47.93501166603528,3.6999137700768188,51.63502650603186,619.4223597609671,6.067689067439029,0.9206922589578234,5.249373163495745,935.2306515065061,4.873217964172364,0.376155201452119,4.945524303536666,0.37405492130078766,0.0,0.0,6.067689067439029
13,2026-06-19T19:37:00Z,2026-06-19T19:37:51Z,0.001,47.94060706789605,3.722115511074662,51.662775578093715,671.1189949129475,6.05469452707391,0.9165085006802921,5.249214485713414,936.1422573661271,4.873587758200509,0.3756267202751977,4.939396820570293,0.37176590059932907,0.0,0.0,6.05469452707391
14,2026-06-19T19:37:51Z,2026-06-19T19:38:43Z,0.001,47.91698803997133,3.7063162870472297,51.62341929296963,722.7434321009787,6.048947321741204,0.9124674412778627,5.24423474584307,933.2536255975825,4.868409851619176,0.37582491210528784,4.9356691962794255,0.3710927124086179,0.0,0.0,6.048947321741204
