epoch,epoch_started_at,epoch_finished_at,lr,train_seconds,valid_seconds,epoch_seconds,cumulative_training_seconds,train_loss,train_nrmse,val_loss,val_nrmse,val_ce,val_rmse,train_ce,train_rmse,train_kl,train_wass,train_total
1,2026-06-19T17:39:55Z,2026-06-19T17:40:22Z,0.001,24.191208982025273,3.4302876529982314,27.62151864694897,27.623031795956194,5.854536734470705,0.97748522102198,5.348395442962646,963.1886766812014,4.959330197743007,0.3890652426651546,5.060988231581085,0.39677425793239046,0.0,0.0,5.854536734470705
2,2026-06-19T17:40:22Z,2026-06-19T17:40:50Z,0.001,24.175102986046113,3.4558397319633514,27.630987033015117,55.28376698400825,5.802840865388209,0.9629986964488375,5.3200190612248015,957.735956536387,4.93358678817749,0.3864322585718972,5.019579537060796,0.3916306613253898,0.0,0.0,5.802840865388209
3,2026-06-19T17:40:50Z,2026-06-19T17:41:18Z,0.001,24.159572283970192,3.4885788479587063,27.64820705796592,82.9644723359961,5.777945615807358,0.9540945217655781,5.291255140304566,949.7323552015479,4.908833203996931,0.38242196312972476,5.0032635091924345,0.3873410547266201,0.0,0.0,5.777945615807358
4,2026-06-19T17:41:18Z,2026-06-19T17:41:45Z,0.001,24.15605827490799,3.452382336021401,27.60849110595882,110.6056256890297,5.758714315842609,0.9473164297110336,5.278631067276001,944.5012327190939,4.897796501432146,0.38083454711096626,4.988897823152088,0.3849082469534712,0.0,0.0,5.758714315842609
5,2026-06-19T17:41:45Z,2026-06-19T17:42:13Z,0.001,24.151715043000877,3.4595887799514458,27.61134703597054,138.2484055799432,5.739906911136342,0.9401957918326592,5.2715609277997695,941.136224451307,4.892117064339774,0.3794438681432179,4.976969767589958,0.3814685687321384,0.0,0.0,5.739906911136342
6,2026-06-19T17:42:13Z,2026-06-19T17:42:41Z,0.001,24.138560793944634,3.449331338983029,27.58794214797672,165.86984939000104,5.717780499231248,0.9322653084699725,5.246644401550293,934.4540241374804,4.870665993009295,0.3759784200361797,4.961684885479155,0.37804781113352093,0.0,0.0,5.717780499231248
7,2026-06-19T17:42:41Z,2026-06-19T17:43:08Z,0.001,24.18217744899448,3.4671183140017092,27.649351179017685,193.55079723405652,5.7095508348374135,0.9285048424560987,5.245970473970686,934.7776000091851,4.869724750518799,0.37624569961002896,4.954769793010893,0.3773905132092586,0.0,0.0,5.7095508348374135
8,2026-06-19T17:43:08Z,2026-06-19T17:43:36Z,0.001,24.16143410198856,3.4842169209150597,27.645680537912995,221.19749121402856,5.703487305414109,0.926667079061195,5.249476391928536,941.6315263000894,4.869407415390015,0.38006899058818816,4.9513002771909544,0.37609350316378537,0.0,0.0,5.703487305414109
9,2026-06-19T17:43:36Z,2026-06-19T17:44:04Z,0.001,24.164421567926183,3.470721254008822,27.635176386102103,248.83370320196263,5.689774860330179,0.9201262463707396,5.237230048860822,931.367551912074,4.8631365162985665,0.3740935359682356,4.943116518915916,0.37332917942481786,0.0,0.0,5.689774860330179
10,2026-06-19T17:44:04Z,2026-06-19T17:44:31Z,0.001,24.15574424294755,3.4497003549477085,27.6054900449235,276.47350262501277,5.68371885974391,0.916521408221271,5.235800538744245,929.3449062019366,4.862390783854893,0.3734097357307162,4.939749227900084,0.37198482301770425,0.0,0.0,5.68371885974391
11,2026-06-19T17:44:31Z,2026-06-19T17:44:59Z,0.001,24.209397851023823,3.461522673955187,27.6709728440037,304.1765486559598,5.67965858809802,0.9144922018175753,5.23924422945295,932.3392742570516,4.864838409423828,0.3744058104498046,4.936267687349903,0.37169545767258627,0.0,0.0,5.67965858809802
12,2026-06-19T17:44:59Z,2026-06-19T17:45:27Z,0.001,24.15143257798627,3.443588688969612,27.595051735988818,331.77265550999437,5.671947054311532,0.9112983732362012,5.244321850367955,939.7500948175367,4.866075168337141,0.3782466913972582,4.93102756811648,0.3704597420838414,0.0,0.0,5.671947054311532
13,2026-06-19T17:45:27Z,2026-06-19T17:45:54Z,0.001,24.139857040019706,3.4264999970328063,27.5663870240096,359.34009253105614,5.661551485256273,0.9064834072086642,5.240074804850987,935.7084760801636,4.8633475031171525,0.3767273374966213,4.925665621854821,0.3679429381883063,0.0,0.0,5.661551485256273
14,2026-06-19T17:45:54Z,2026-06-19T17:46:22Z,0.001,24.199658646946773,3.4366038440493867,27.636293892050162,386.9774937200127,5.657871515572476,0.9060360215576506,5.224140065056937,928.2528943852217,4.852228498458862,0.37191158128636226,4.922097592126756,0.3678869607091761,0.0,0.0,5.657871515572476
15,2026-06-19T17:46:22Z,2026-06-19T17:46:49Z,0.001,24.185081284027547,3.413283993024379,27.598414320964366,414.6088943190407,5.656433303339952,0.9049121882689047,5.222963149206979,926.090429703531,4.851912730080741,0.3710504278540611,4.9215409836801545,0.3674461604381094,0.0,0.0,5.656433303339952
16,2026-06-19T17:46:49Z,2026-06-19T17:47:17Z,0.001,24.226161930942908,3.4648499289760366,27.691060070996173,442.3325399860041,5.647815058831455,0.9014936644326157,5.245484672273908,940.2555314027011,4.8680131775992255,0.3774714876498495,4.916745529693811,0.3655347665961908,0.0,0.0,5.647815058831455
17,2026-06-19T17:47:17Z,2026-06-19T17:47:45Z,0.001,24.187275810050778,3.465530153014697,27.652837403002195,469.9865192619618,5.64734242238155,0.8994654941738999,5.2278533458709715,928.2320698500707,4.85518924849374,0.37266410908528735,4.916174762103022,0.365583828314632,0.0,0.0,5.64734242238155
18,2026-06-19T17:47:45Z,2026-06-19T17:48:12Z,0.001,24.122742515988648,3.434099591919221,27.55687286600005,497.5445265149465,5.638409909747896,0.8950365528616543,5.26225596836635,940.3163044606825,4.882991429737636,0.3792645058461598,4.910553747293901,0.36392807757773366,0.0,0.0,5.638409909747896
19,2026-06-19T17:48:12Z,2026-06-19T17:48:40Z,0.001,24.14924069994595,3.4359641030896455,27.585236233077012,525.1309225530131,5.633879784824086,0.8923641012238027,5.250511755262102,940.7576375518308,4.871823140553066,0.3786886274814606,4.909173238845098,0.36235326711012394,0.0,0.0,5.633879784824086
20,2026-06-19T17:48:40Z,2026-06-19T17:49:08Z,0.001,24.171616325969808,3.4585291820112616,27.63017893093638,552.7622521719895,5.6260467873138635,0.891121764189701,5.227590424673898,930.8608638650271,4.854232263565064,0.3733581481235368,4.902282607798674,0.36188208793296295,0.0,0.0,5.6260467873138635
21,2026-06-19T17:49:08Z,2026-06-19T17:49:35Z,0.001,24.194814517977647,3.458533886936493,27.653381536947563,580.416808021022,5.6207797186715265,0.8875100532900456,5.247089985438755,940.3689869697592,4.869369942801339,0.37772005306822914,4.900595048657891,0.3600923372369234,0.0,0.0,5.6207797186715265
22,2026-06-19T17:49:35Z,2026-06-19T17:50:03Z,0.001,24.171426926972345,3.459283920004964,27.630742017063312,608.0487499289447,5.620200812411146,0.8864784455602429,5.244383607591901,943.4414547207291,4.864920309611729,0.3794632949999401,4.900233778012853,0.35998352571409575,0.0,0.0,5.620200812411146
23,2026-06-19T17:50:03Z,2026-06-19T17:50:30Z,0.001,24.166315729962662,3.4168288100045174,27.58318109996617,635.6331678100396,5.607678718307391,0.8804865087306072,5.251062556675502,946.3839354892558,4.87072388785226,0.38033867286784306,4.893418701327577,0.35713001234190805,0.0,0.0,5.607678718307391
