epoch,lr,train_loss,train_nrmse,val_loss,val_nrmse,val_ce,val_rmse,train_ce,train_rmse,train_kl,train_wass,train_total
1,0.001,6.742129741071844,1.0112015412450055,5.5626586845942905,1008.3298205469487,5.15237078666687,0.410287914957319,5.511142169537187,0.41032919530965845,0.0,0.0,6.742129741071844
2,0.001,6.425605699318607,0.9906974333468128,5.524869564601353,998.0228432863671,5.119315433502197,0.40555412471294405,5.21826646441505,0.40244640886378125,0.0,0.0,6.425605699318607
3,0.001,6.37024212856682,0.9792594410595857,5.494276775632586,983.1206401554141,5.095832259314401,0.3984445261103766,5.178648290180025,0.397197947412932,0.0,0.0,6.37024212856682
4,0.001,6.335285154329676,0.9711419800838893,5.474090950829642,976.4733306824768,5.0786392143794465,0.39545174283640727,5.153289013168439,0.39399870662462144,0.0,0.0,6.335285154329676
5,0.001,6.313831086061438,0.9677304401718233,5.445152405330113,968.8299671966444,5.053771216528756,0.3913812019995281,5.134051131553391,0.3932599780105409,0.0,0.0,6.313831086061438
6,0.001,6.292547855247446,0.9639175383431935,5.431506034306118,966.2850207080912,5.040896190915789,0.39060984339032856,5.11808358406534,0.39148809289445685,0.0,0.0,6.292547855247446
7,0.001,6.280639463541459,0.9631491397341324,5.412703759329659,962.3680290677786,5.0242605413709365,0.3884431907108852,5.107189184954377,0.39115009583583493,0.0,0.0,6.280639463541459
8,0.001,6.2628585043407625,0.960691036560951,5.407175064086914,962.9967719149342,5.018535607201713,0.3886394487959998,5.094735255857715,0.38937441771533216,0.0,0.0,6.2628585043407625
9,0.001,6.251957721450702,0.9579376224205276,5.394474615369524,955.5408488321956,5.008917188644409,0.3855574288538524,5.0857023252110904,0.3887517997602216,0.0,0.0,6.251957721450702
10,0.001,6.245784811422127,0.955703228104713,5.404419313158308,964.1563779163799,5.0153944764818466,0.3890248545578548,5.080434510497009,0.38845010821511144,0.0,0.0,6.245784811422127
11,0.001,6.239567876673069,0.9557026688550784,5.378285932540893,952.609479282811,4.994184078489031,0.38410185277462006,5.075492018745059,0.388025284827161,0.0,0.0,6.239567876673069
12,0.001,6.234012191798411,0.95340083600507,5.371387536185129,954.9301831870511,4.985778147833688,0.385609382390976,5.070858390963807,0.38771793367911356,0.0,0.0,6.234012191798411
13,0.001,6.222312778031745,0.9514962697375157,5.3647481645856585,951.612392050786,4.980984926223755,0.3837632430451257,5.062636725756587,0.3865586837538246,0.0,0.0,6.222312778031745
14,0.001,6.219085511707124,0.9496749955101562,5.363611078262329,952.2191114354707,4.979727806363787,0.3838832757302693,5.060878526596796,0.3860689926715124,0.0,0.0,6.219085511707124
15,0.001,6.21319241426429,0.9488370793688469,5.363865647997175,950.9191770484447,4.980879177365984,0.38298645743301934,5.057432103319233,0.3852534381305279,0.0,0.0,6.21319241426429
16,0.001,6.209083862045184,0.9488544127496975,5.349646350315639,947.3435139934611,4.967919002260481,0.38172733315399715,5.055151329559534,0.384644180739007,0.0,0.0,6.209083862045184
17,0.001,6.206898997430088,0.9483734332204582,5.350075224467687,946.2522843388659,4.968962219783238,0.3811129710503987,5.052522999899728,0.3847919962033123,0.0,0.0,6.206898997430088
18,0.001,6.198951432494079,0.9451923970227731,5.34116074017116,944.9348007207817,4.960429852349417,0.38073088441576275,5.048463315379863,0.38349603248291275,0.0,0.0,6.198951432494079
19,0.001,6.196427202549111,0.9445070247129047,5.34970303262983,948.24630373518,4.96759945324489,0.3821035976920809,5.045134090241932,0.3837643685389538,0.0,0.0,6.196427202549111
20,0.001,6.196074767988556,0.9448617376862675,5.335870395387922,942.2821589421627,4.956519930703299,0.379350465961865,5.043920494261242,0.3840514230890339,0.0,0.0,6.196074767988556
21,0.001,6.189264472650022,0.9423835944031573,5.338454627990723,945.3455633002408,4.957471302577427,0.38098333137375967,5.040446284676896,0.3829393970723055,0.0,0.0,6.189264472650022
22,0.001,6.187194584178275,0.9415869691239889,5.336398703711374,946.0561202023135,4.955278778076172,0.3811199005161013,5.040208368885274,0.38232873897163233,0.0,0.0,6.187194584178275
23,0.001,6.1846491820147245,0.9422421548607088,5.341204718181065,946.9390542803895,4.960009077617101,0.3811956503561565,5.037951975452657,0.38223239738924975,0.0,0.0,6.1846491820147245
24,0.001,6.180033982205553,0.9392301909900167,5.327187102181571,943.3971894688393,4.947185625348772,0.38000147002083917,5.036789611894257,0.38108146048727487,0.0,0.0,6.180033982205553
25,0.001,6.180607341584706,0.9406349176996175,5.333102226257324,944.9367658337494,4.9524382386888774,0.38066398799419404,5.034426014439589,0.38206044265202116,0.0,0.0,6.180607341584706
26,0.001,6.175793706154336,0.9393954869019459,5.321255329677037,942.0628498687928,4.941878339222499,0.37937698321683067,5.03252479981403,0.3810896358522428,0.0,0.0,6.175793706154336
27,0.001,6.173678618710057,0.938007059277046,5.3339823041643415,943.6601193036452,4.953952714375087,0.3800295966012137,5.0302122239352896,0.38115546999334476,0.0,0.0,6.173678618710057
28,0.001,6.173486229513778,0.9389308125563296,5.320324816022601,941.0432835285023,4.941521610532488,0.37880320080689023,5.029934529544545,0.38118389998974445,0.0,0.0,6.173486229513778
29,0.001,6.167258908148526,0.9367228495142347,5.331845671789987,946.721259888268,4.950516945975167,0.3813287330525262,5.026718369957541,0.38018017784267866,0.0,0.0,6.167258908148526
30,0.001,6.1630240589583005,0.935823946838523,5.3228604657309395,941.7534803727837,4.943697254998344,0.37916318646499086,5.02431126354503,0.3795709328181079,0.0,0.0,6.1630240589583005
31,0.001,6.16022574171728,0.9345710008760512,5.317566422053746,938.0475313335492,4.9401670251573835,0.37739940285682677,5.022258943440963,0.3793222589963147,0.0,0.0,6.16022574171728
32,0.001,6.160631264148115,0.9336664771251287,5.313666309629168,938.2601572603706,4.936154985427857,0.37751132590430125,5.022673752843117,0.37931916543415617,0.0,0.0,6.160631264148115
33,0.001,6.16011448620128,0.9343507763607904,5.311717959812709,939.254479336547,4.933637210300991,0.37808075078896114,5.0227698955406135,0.3791148619992392,0.0,0.0,6.16011448620128
34,0.001,6.153381951001226,0.9308125475510747,5.317020852225167,942.5532506784216,4.937092079435076,0.3799287919487272,5.019769428538627,0.3778708439294984,0.0,0.0,6.153381951001226
35,0.001,6.153446035320256,0.931272263311072,5.311274746486119,940.2546617376645,4.932588713509696,0.3786860304219382,5.019052190845516,0.37813128135642227,0.0,0.0,6.153446035320256
36,0.001,6.1490531032588205,0.9307017275561834,5.312867764064244,939.9297583999214,4.934185348238263,0.37868241838046485,5.015738068794717,0.37777167376206844,0.0,0.0,6.1490531032588205
37,0.001,6.146509063487151,0.9293837365923474,5.3102882385253904,937.8459036520043,4.933073793138776,0.37721443559442247,5.014581728954704,0.3773091206339752,0.0,0.0,6.146509063487151
38,0.001,6.145040521816331,0.9291065489139219,5.314321715491158,939.230116760063,4.936245536804199,0.3780761935881206,5.014130209578949,0.3769701062416544,0.0,0.0,6.145040521816331
39,0.001,6.1434095960085084,0.9281972882237863,5.306515278135027,935.2429536093841,4.930651835032871,0.375863430755479,5.013264000821276,0.37671520778921996,0.0,0.0,6.1434095960085084
40,0.001,6.139839740026565,0.9277369160610021,5.310813270296369,937.1858611324781,4.934124960218157,0.37668830965246475,5.0111752399781935,0.3762214986645446,0.0,0.0,6.139839740026565
41,0.001,6.140765939440046,0.927682760754718,5.300917768478394,934.4314360163673,4.925091327939715,0.37582647800445557,5.0121346201215475,0.3762104395700961,0.0,0.0,6.140765939440046
42,0.001,6.14236440788321,0.9279822796060285,5.312225934437343,940.8292640836033,4.933439656666347,0.37878630885056086,5.01160733553828,0.37691901776255393,0.0,0.0,6.14236440788321
43,0.001,6.138904895912222,0.9265070142363443,5.306198086057391,937.9484510321649,4.928100442886352,0.3780976176261902,5.009860012807002,0.3763482961930385,0.0,0.0,6.138904895912222
44,0.001,6.131462687537784,0.9238104966858105,5.30303464617048,935.9923648776168,4.926962511880057,0.3760721376964024,5.006433418818882,0.37500975387437,0.0,0.0,6.131462687537784
45,0.001,6.1293343978674235,0.9250165808896218,5.302719456808908,933.8755928570157,4.927449212755476,0.3752702470336642,5.004435944719379,0.3749661518602955,0.0,0.0,6.1293343978674235
46,0.001,6.131895853548634,0.9258317393103209,5.3166939054216655,940.02103343221,4.938621459688459,0.3780724401984896,5.005877948942638,0.37533929579111996,0.0,0.0,6.131895853548634
47,0.001,6.123808429354713,0.922552222224987,5.311163909094674,940.9898451470133,4.932408612115043,0.37875528633594513,5.001291962707935,0.3741721638611385,0.0,0.0,6.123808429354713
48,0.001,6.124148145013926,0.9209293177620576,5.312433821814401,935.1569357091655,4.936638300759451,0.3757955074310303,5.002672493863268,0.3738252188072724,0.0,0.0,6.124148145013926
49,0.001,6.12483886796601,0.9217774548705708,5.319538504736764,936.9835835894465,4.942812211172921,0.3767263025045395,5.001924709397919,0.37430471039953683,0.0,0.0,6.12483886796601
50,0.001,6.124493439992269,0.9219605428985814,5.308243717466082,938.4606223845616,4.9304057938711985,0.37783792061465127,5.002587785526198,0.3739685410139512,0.0,0.0,6.124493439992269
51,0.001,6.118834703147006,0.9196677404791381,5.308053888593402,937.2326310034229,4.931565700258528,0.37648817811693464,4.999247103321309,0.373195865932776,0.0,0.0,6.118834703147006
52,0.001,6.1159092942062685,0.9200600872750332,5.306612859453474,937.7174740333371,4.929169532230922,0.3774433259453092,4.996612182279834,0.37309904305302366,0.0,0.0,6.1159092942062685
53,0.001,6.121468479130544,0.919756919296101,5.294954872131347,933.2113600062291,4.919909538541521,0.3750453578574317,5.0004397865866315,0.37367623071281275,0.0,0.0,6.121468479130544
54,0.001,6.11697514527509,0.91847420520453,5.307422508512224,938.4867718457176,4.929924079350063,0.3774984585387366,4.998382516458732,0.372864210889453,0.0,0.0,6.11697514527509
55,0.001,6.108340921856108,0.9157975908735738,5.298746088572911,935.4322948587069,4.922162042345319,0.37658404452460154,4.994130332453722,0.3714035388563766,0.0,0.0,6.108340921856108
56,0.001,6.11021274449874,0.9172529478906858,5.305614825657436,936.1472773515674,4.9286615235464915,0.37695330211094447,4.9928623932559475,0.37245011572935144,0.0,0.0,6.11021274449874
57,0.001,6.111932199828479,0.9177478491677878,5.30478322165353,939.473926247014,4.926453501837594,0.37832971385547093,4.994828493416715,0.37236791058462493,0.0,0.0,6.111932199828479
58,0.001,6.110559586765004,0.9167982306651412,5.296640532357352,933.1593415109223,4.9216191155569895,0.37502141765185765,4.994783800475451,0.3719252627723071,0.0,0.0,6.110559586765004
59,0.001,6.107916011291296,0.9140967894408506,5.315190655844552,943.4386103259062,4.934738881247384,0.38045176523072377,4.99350676244619,0.3714697450196662,0.0,0.0,6.107916011291296
60,0.001,6.099546546027774,0.9132003605118808,5.3036867618560795,938.6725869646617,4.925527845110212,0.3781589061021805,4.989014985610027,0.37017719498296986,0.0,0.0,6.099546546027774
61,0.001,6.10425175452719,0.9134459782588784,5.320457512991769,942.887244398683,4.940741130283901,0.37971637206418174,4.991344367565752,0.37096912743282967,0.0,0.0,6.10425175452719
