epoch,epoch_started_at,epoch_finished_at,lr,train_seconds,valid_seconds,epoch_seconds,cumulative_training_seconds,train_loss,train_nrmse,val_loss,val_nrmse,val_ce,val_rmse,train_ce,train_rmse,train_kl,train_wass,train_total
1,2026-06-19T18:18:19Z,2026-06-19T18:18:47Z,0.001,24.22485835500993,3.473120319074951,27.69800336100161,27.699730920023285,6.228314522983266,0.9770756186195141,5.30355315889631,961.3490928688868,4.91535793031965,0.38819523538861955,5.038487330585921,0.39660906730865947,0.0,0.0,6.228314522983266
2,2026-06-19T18:18:47Z,2026-06-19T18:19:15Z,0.001,24.22542821697425,3.459181504906155,27.684652072028257,55.415731900022365,6.166871885053155,0.9630148260173909,5.275413267953056,957.3347270781907,4.889297410420009,0.38611585455281394,4.991967230427022,0.3916348847402196,0.0,0.0,6.166871885053155
3,2026-06-19T18:19:15Z,2026-06-19T18:19:42Z,0.001,24.22168859303929,3.429252265021205,27.65101204207167,83.10072729398962,6.136181876772926,0.9544747948175901,5.2413402353014265,948.7790217760828,4.8592928000858855,0.38204744671072277,4.9736930853655545,0.3874962623832988,0.0,0.0,6.136181876772926
4,2026-06-19T18:19:42Z,2026-06-19T18:20:10Z,0.001,24.229367926949635,3.471832741983235,27.701253989012912,110.83488654892426,6.111549753721069,0.947410832968201,5.227635288238526,947.5701546054165,4.845194707598005,0.3824405780860356,4.9567106240460665,0.3849463837892831,0.0,0.0,6.111549753721069
5,2026-06-19T18:20:10Z,2026-06-19T18:20:38Z,0.001,24.21217816392891,3.471006253035739,27.68325189605821,138.5512485880172,6.089249948255059,0.9407779877554372,5.224204628808158,943.4526938043706,4.843635184424264,0.380569446512631,4.944138280388449,0.38170389881750355,0.0,0.0,6.089249948255059
6,2026-06-19T18:20:38Z,2026-06-19T18:21:06Z,0.001,24.20047916402109,3.4467233810573816,27.647275723982602,166.23165168694686,6.060050545906534,0.9323884804560529,5.193242454528809,935.2899448901254,4.816932937077113,0.37630955023424967,4.925738052446015,0.3781041598238913,0.0,0.0,6.060050545906534
7,2026-06-19T18:21:06Z,2026-06-19T18:21:33Z,0.001,24.174782907939516,3.4436715110205114,27.618505624006502,193.88366531394422,6.05264002936227,0.9293774401423243,5.19270099231175,936.1039283242235,4.815943316050938,0.3767576617853982,4.9193869577784115,0.3777510302812875,0.0,0.0,6.05264002936227
8,2026-06-19T18:21:33Z,2026-06-19T18:22:01Z,0.001,24.221098952926695,3.497240172000602,27.718369722017087,221.60303231992293,6.041138136467966,0.9260615029900824,5.194491767883301,942.0341059057466,4.814457750320434,0.3800340384244919,4.913576148805165,0.3758539954821269,0.0,0.0,6.041138136467966
9,2026-06-19T18:22:01Z,2026-06-19T18:22:29Z,0.001,24.24083571799565,3.4822666400577873,27.723132775048725,249.3271807639394,6.0257536051224685,0.9203281452086756,5.1858720711299355,935.7748239875208,4.809691762924194,0.37618032821587155,4.905519180557355,0.37341147884219683,0.0,0.0,6.0257536051224685
10,2026-06-19T18:22:29Z,2026-06-19T18:22:56Z,0.001,24.195121926954016,3.5118995109805837,27.707052716054022,277.0352601800114,6.016914439039166,0.9165466115449741,5.1846908160618375,930.1222206881084,4.810686894825527,0.3740039491227695,4.900925159454346,0.3719964278798525,0.0,0.0,6.016914439039166
11,2026-06-19T18:22:56Z,2026-06-19T18:23:24Z,0.001,24.266019605915062,3.439213364967145,27.70528444694355,304.77645614300855,6.017001447223482,0.9165069408362454,5.179925005776542,933.331829301022,4.805197777066912,0.37472721018961497,4.899459650727357,0.37251393223295404,0.0,0.0,6.017001447223482
